"","id","price_day","f_property_type","f_neighbourhood","n_accommodates","n_bathrooms","n_minimum_nights","n_beds","n_review_scores_rating","n_number_of_reviews","n_bedrooms","d_instant_bookable","d_wifi","d_refrigerator","d_air_conditioning","d_baby","d_beach","d_stove","d_free_parking","d_office","d_coffee_maker","d_garden","d_gym"
"9545",663551341815214336,2000,"rental","Beyoglu",2,1,3,2,5,5,1,"f","1","1","1","0","0","1","0","0","0","0","0"
"9546",663554242329586560,2997,"rental","Besiktas",4,1,1,2,4,1,2,"f","1","1","0","0","0","1","0","0","1","0","0"
"9547",663556411107691392,1267,"rental","Beyoglu",3,1,2,1,4,11,1,"t","1","1","1","0","0","1","0","0","0","0","0"
"9548",663558090608186112,936,"rental","Besiktas",4,1,1,2,3.33,3,2,"t","1","0","1","0","0","0","1","0","0","0","0"
"9549",663572935891444864,1688,"rental","Atasehir",2,1,2,2,4.83,0,1,"f","1","0","1","0","0","0","1","0","0","0","0"
"9550",663607341091249024,900,"rental","Fatih",4,1,3,2,4.63,8,2,"f","1","0","1","0","0","0","0","0","0","0","0"
"9551",663619609518430464,1711,"apartment","Sisli",4,1,4,5,4.71,24,2,"t","1","1","0","0","0","1","0","0","1","0","0"
"9552",663621931290694272,1586,"rental","Besiktas",4,1,2,1,4.5,2,1,"f","1","1","0","0","0","0","0","0","1","0","0"
"9553",663626093850301952,842,"rental","Uskudar",3,1,3,1,5,8,1,"f","1","1","1","0","0","1","1","0","0","0","1"
"9554",663643829735383936,1871,"rental","Sisli",5,1,7,3,4.83,0,2,"f","1","1","1","0","0","1","0","0","0","0","0"
"9555",663660490385052928,1500,"rental","Uskudar",6,1,3,5,5,18,2,"f","1","1","0","1","0","1","0","0","0","0","0"
"9556",663669751885629312,540,"rental","Bahcelievler",2,1,1,2,4.83,0,1,"f","1","1","0","0","0","0","1","0","0","1","0"
"9557",663674424328786176,860,"rental","Bayrampasa",4,1,5,5,4.83,0,2,"t","1","0","0","0","0","0","0","0","0","0","0"
"9558",663686418941240832,1096,"rental","Sisli",3,1,3,1,5,7,1,"f","1","1","1","0","0","1","0","0","1","1","0"
"9559",663689799829447424,750,"rental","Kadikoy",2,1,7,1,4.83,0,1,"f","1","0","0","0","0","0","0","0","0","0","0"
"9560",663704867953978112,1217,"rental","Atasehir",3,1,2,1,4.83,0,1,"t","1","0","1","0","0","0","1","0","0","0","0"
"9561",663710334101496448,1270,"rental","Sisli",4,1,1,2,4.5,6,2,"f","1","1","0","0","0","0","0","0","1","0","0"
"9562",663740839889379840,750,"apartment","Tuzla",2,1,2,1,4.64,11,1,"f","1","1","0","0","1","0","0","0","1","0","1"
"9563",663757736350800640,1473,"rental","Beyoglu",4,1,2,2,2.67,3,2,"t","1","1","1","0","0","1","0","0","0","0","0"
